

Filename           |     Max Fanin     |     Max Fanout
cm82a.blif         |         3         |         2     
cm85a.blif         |         4         |         4     
cmb.blif           |         4         |         3     
comp.blif          |         4         |         3     
con1.blif          |         4         |         4     
cordic.blif        |         4         |         3     
count.blif         |         4         |         25    
cps.blif           |         4         |         41    
ctrl.blif          |         4         |         20    
cu.blif            |         4         |         5     
dalu.blif          |         4         |         38    
dc1.blif           |         4         |         3     
dc2.blif           |         4         |         13    
dec.blif           |         4         |         16    
decod.blif         |         3         |         8     
dekoder.blif       |         4         |         5     
des.blif           |         4         |        158    
dist.blif          |         4         |         29    
div.blif           |         4         |        316    
dk17.blif          |         4         |         12    
dk27.blif          |         4         |         6     
dk48.blif          |         4         |         9     
duke2.blif         |         4         |         31    
e64.blif           |         4         |         10    
ex1010.blif        |         4         |        102    
ex4.blif           |         4         |         6     
ex5.blif           |         4         |         46    
ex7.blif           |         4         |         6     
example2.blif      |         4         |         22    
exep.blif          |         4         |         17    
exp.blif           |         4         |         25    
exps.blif          |         4         |         83    
f51m.blif          |         4         |         9     
frg1.blif          |         4         |         8     
frg2.blif          |         4         |         64    
gary.blif          |         4         |         25    
hyp.blif           |         4         |        242    
i10.blif           |         4         |         37    
i1.blif            |         4         |         5     
i2.blif            |         4         |         3     
i2c.blif           |         4         |         26    
i3.blif            |         4         |         1     
i4.blif            |         4         |         2     
i5.blif            |         4         |         4     
i6.blif            |         4         |         46    
i7.blif            |         4         |         50    
i8.blif            |         4         |         99    
i9.blif            |         4         |        115    
ibm.blif           |         4         |         17    
in0.blif           |         4         |         23    
in1.blif           |         4         |         69    
in2.blif           |         4         |         26    
in3.blif           |         4         |         21    
in4.blif           |         4         |         15    
in5.blif           |         4         |         13    
in6.blif           |         4         |         12    
in7.blif           |         4         |         6     
inc.blif           |         4         |         12    
int2float.blif     |         4         |         11    
intb.blif          |         4         |         41    
jbp.blif           |         4         |         21    
k2.blif            |         4         |         36    
lal.blif           |         4         |         6     
lin.blif           |         4         |         73    
log2.blif          |         4         |        113    
luc.blif           |         4         |         18    
m1.blif            |         4         |         7     
m2.blif            |         4         |         19    
m3.blif            |         4         |         22    
m4.blif            |         4         |         42    
mainpla.blif       |         4         |        113    
majority.blif      |         4         |         1     
mark1.blif         |         4         |         10    
max1024.blif       |         4         |         39    
max128.blif        |         4         |         39    
max46.blif         |         4         |         9     
max512.blif        |         4         |         36    
max.blif           |         4         |        161    
mem_ctrl.blif      |         4         |        347    
misex1.blif        |         4         |         7     
misex2.blif        |         4         |         5     
misex3.blif        |         4         |         57    
misex3c.blif       |         4         |         25    
misg.blif          |         4         |         3     
mish.blif          |         4         |         3     
misj.blif          |         4         |         4     
mlp4.blif          |         4         |         32    
mp2d.blif          |         4         |         8     
multiplier.blif    |         4         |         68    
mux.blif           |         4         |         11    
my_adder.blif      |         4         |         5     
newapla1.blif      |         4         |         4     
newapla2.blif      |         4         |         4     
newapla.blif       |         4         |         6     
newbyte.blif       |         3         |         4     
newcond.blif       |         4         |         6     
newcpla1.blif      |         4         |         13    
newcpla2.blif      |         4         |         10    
newcwp.blif        |         4         |         2     
newill.blif        |         4         |         3     
newtag.blif        |         4         |         1     
newtpla1.blif      |         4         |         2     
newtpla2.blif      |         4         |         2     
newtpla.blif       |         4         |         5     
newxcpla1.blif     |         4         |         12    
o64.blif           |         4         |         1     
opa.blif           |         4         |         46    
p82.blif           |         4         |         12    
pair.blif          |         4         |         29    
parity.blif        |         4         |         1     
pcle.blif          |         4         |         9     
pcler8.blif        |         4         |         8     
pdc.blif           |         4         |         40    
pm1.blif           |         4         |         3     
pope.blif          |         4         |         56    
priority.blif      |         4         |         4     
prom1.blif         |         4         |        269    
prom2.blif         |         4         |        146    
rd53.blif          |         4         |         3     
rd73.blif          |         4         |         6     
rd84.blif          |         4         |         12    
risc.blif          |         4         |         7     
root.blif          |         4         |         14    
rot.blif           |         4         |         14    
router.blif        |         4         |         5     
ryy6.blif          |         4         |         1     
s1196a.bench       |         4         |         17    
s1196b.bench       |         4         |         17    
s1196.bench        |         4         |         19    
s1238a.bench       |         4         |         22    
s1238.bench        |         4         |         21    
s13207.bench       |         4         |         48    
s1423.bench        |         4         |         32    
s1488.bench        |         4         |         38    
s1494.bench        |         4         |         41    
s15850.bench       |         4         |        139    
s208a.bench        |         4         |         4     
s208.bench         |         4         |         5     
s27a.bench         |         4         |         3     
s27.bench          |         4         |         3     
s298.bench         |         4         |         8     
s344.bench         |         4         |         7     
s349.bench         |         4         |         6     
s35932.bench       |         4         |        802    
s382.bench         |         4         |         11    
s38417.bench       |         4         |         38    
s38584.bench       |         4         |        519    
s386.bench         |         4         |         10    
s400.bench         |         4         |         8     
s420.bench         |         4         |         6     
s444.bench         |         4         |         12    
s510.bench         |         4         |         13    
s526a.bench        |         4         |         10    
s526.bench         |         4         |         10    
s5378.bench        |         4         |         15    
s641.bench         |         4         |         9     
s713.bench         |         4         |         7     
s820.bench         |         4         |         17    
s832.bench         |         4         |         18    
s838a.bench        |         4         |         12    
s838.bench         |         4         |         5     
s9234.bench        |         4         |         18    
s953.bench         |         4         |         14    
sao2.blif          |         4         |         11    
sct.blif           |         4         |         6     
seq.blif           |         4         |         71    
sex.blif           |         4         |         8     
shift.blif         |         4         |         19    
signet.blif        |         4         |         8     
sin.blif           |         4         |         59    
soar.blif          |         4         |         20    
spla.blif          |         4         |         44    
sqn.blif           |         4         |         9     
sqr6.blif          |         4         |         11    
sqrt8.blif         |         4         |         7     
sqrt.blif          |         4         |        219    
squar5.blif        |         4         |         5     
square.blif        |         4         |         63    
t1.blif            |         4         |         19    
t2.blif            |         4         |         10    
t3.blif            |         4         |         7     
t481.blif          |         4         |         40    
t4.blif            |         4         |         10    
table3.blif        |         4         |         60    
table5.blif        |         4         |         47    
t.blif             |         3         |         1     
tcon.blif          |         3         |         8     
term1.blif         |         4         |         9     
ti.blif            |         4         |         44    
tms.blif           |         4         |         20    
too_large.blif     |         4         |         20    
ts10.blif          |         4         |         14    
ttt2.blif          |         4         |         11    
unreg.blif         |         4         |         16    
vda.blif           |         4         |         19    
vg2.blif           |         4         |         4     
voter.blif         |         4         |         10    
vtx1.blif          |         4         |         5     
wim.blif           |         4         |         5     
x1.blif            |         4         |         12    
x1dn.blif          |         4         |         7     
x2.blif            |         4         |         3     
x2dn.blif          |         4         |         7     
x3.blif            |         4         |         32    
x4.blif            |         4         |         24    
x6dn.blif          |         4         |         23    
x7dn.blif          |         4         |         16    
x9dn.blif          |         4         |         5     
xor5.blif          |         4         |         1     
xparc.blif         |         4         |         82    
z4ml.blif          |         4         |         3     
Z5xp1.blif         |         4         |         10    
Z9sym.blif         |         4         |         8     


Average Fanin: 2.5169719247809503
Average Fanout: 2.259926584257543
Average Std Fanout: 4.798265493556164
Average Std Fanin: 1.0109665313046137
Average Std of Fanout Less than 10: 1.1102230246251565e-16
Average Fanout Less than 10: 0.9841270000000001


Max Fanin: 4
Max Fanout: 802
